th13,dm31,walker
0.0223744,2.57098,5
0.0224568,2.57382,5
0.0223757,2.53366,5
0.0224564,2.53039,5
0.0225356,2.49764,5
0.0227386,2.52108,5
0.0227478,2.5204,5
0.0238161,2.54535,5
0.0238161,2.54535,5
0.0235526,2.53901,5
0.0234025,2.53228,5
0.0234574,2.55033,5
0.0231761,2.51743,5
0.0231761,2.51743,5
0.0230329,2.50835,5
0.0232252,2.50661,5
0.022566,2.49347,5
0.0211341,2.51747,5
0.0218029,2.47703,5
0.0216658,2.4965,5
0.0216658,2.4965,5
0.0216302,2.49348,5
0.0216302,2.49348,5
0.0213972,2.51379,5
0.0213972,2.51379,5
0.0210021,2.52705,5
0.0210021,2.52705,5
0.0210021,2.52705,5
0.0210021,2.52705,5
0.0210021,2.52705,5
0.0210021,2.52705,5
0.0208786,2.54199,5
0.0208786,2.54199,5
0.0208786,2.54199,5
0.0203162,2.51886,5
0.0203162,2.51886,5
0.0211656,2.50348,5
0.0212079,2.49934,5
0.0213027,2.50676,5
0.0213027,2.50676,5
0.0212826,2.51636,5
0.0212826,2.51636,5
0.0209108,2.52606,5
0.021461,2.52231,5
0.0214637,2.51532,5
0.0222604,2.51228,5
0.0222603,2.51226,5
0.0222603,2.51226,5
0.0227699,2.57644,5
0.0225836,2.51971,5
0.0225654,2.48295,5
0.0226304,2.47665,5
0.0224871,2.48091,5
0.0223469,2.47414,5
0.0221781,2.46894,5
0.0211331,2.44603,5
0.021094,2.44351,5
0.0213766,2.4528,5
0.0218314,2.49713,5
0.0218314,2.49713,5
0.0218079,2.50175,5
0.0219615,2.51241,5
0.0218119,2.50811,5
0.021633,2.55349,5
0.021633,2.55349,5
0.021633,2.55349,5
0.021633,2.55349,5
0.0210148,2.52172,5
0.0219764,2.489,6
0.0222132,2.49038,6
0.0222391,2.47165,6
0.0218399,2.4593,6
0.0219171,2.46263,6
0.0219171,2.46263,6
0.0218986,2.46305,6
0.022053,2.45684,6
0.0221263,2.46413,6
0.0221147,2.46274,6
0.0224428,2.36531,6
0.0225535,2.38259,6
0.022561,2.38045,6
0.0219858,2.40251,6
0.0220209,2.40417,6
0.0221382,2.40069,6
0.0221382,2.40069,6
0.0221382,2.40069,6
0.0220931,2.39608,6
0.0220492,2.4131,6
0.0220492,2.4131,6
0.022192,2.40042,6
0.022192,2.40042,6
0.022475,2.39619,6
0.0222987,2.42477,6
0.0221895,2.44636,6
0.0217066,2.45074,6
0.0216237,2.44879,6
0.0216581,2.47502,6
0.0220856,2.47064,6
0.0220318,2.46349,6
0.0220083,2.45986,6
0.0219693,2.45487,6
0.0220119,2.45595,6
0.0220102,2.45487,6
0.0220154,2.47616,6
0.0220424,2.4775,6
0.0221829,2.4755,6
0.0221829,2.4755,6
0.0221563,2.46161,6
0.0216849,2.4178,6
0.021841,2.42295,6
0.021841,2.42295,6
0.0221017,2.46934,6
0.0220618,2.45101,6
0.0218594,2.45937,6
0.0216623,2.41228,6
0.0218409,2.46038,6
0.0217431,2.46309,6
0.0214285,2.41517,6
0.021677,2.43111,6
0.021677,2.43111,6
0.0222854,2.45007,6
0.0222765,2.44385,6
0.022265,2.44599,6
0.0222089,2.45379,6
0.0222258,2.45408,6
0.0224184,2.46696,6
0.0222884,2.46869,6
0.0222884,2.46869,6
0.0225686,2.47192,6
0.0231615,2.43831,6
0.0230162,2.40958,6
0.0230162,2.40958,6
0.0223139,2.43636,6
0.0224078,2.43605,6
0.0229486,2.44111,6
0.0229486,2.44111,6
0.0229486,2.44111,6
0.0225554,2.47962,6
0.0225951,2.46222,6
0.02259,2.46154,6
0.0225211,2.45502,6
0.0222517,2.44544,6
0.022226,2.43179,6
0.0224313,2.45715,6
0.0226534,2.47408,6
